Note 1: MIDI nan (Start: 0.00s, Duration: 0.03s)
Note 2: MIDI nan (Start: 0.03s, Duration: 0.03s)
Note 3: MIDI 60.28682057635243 (Start: 0.06s, Duration: 0.03s)
Note 4: MIDI 61.08682057635243 (Start: 0.10s, Duration: 0.03s)
Note 5: MIDI 60.786820576352426 (Start: 0.13s, Duration: 0.03s)
Note 6: MIDI 60.58682057635244 (Start: 0.16s, Duration: 0.03s)
Note 7: MIDI 60.28682057635243 (Start: 0.19s, Duration: 0.03s)
Note 8: MIDI 59.48682057635243 (Start: 0.22s, Duration: 0.03s)
Note 9: MIDI 59.18682057635243 (Start: 0.26s, Duration: 0.06s)
Note 10: MIDI 59.08682057635242 (Start: 0.32s, Duration: 0.03s)
Note 11: MIDI 59.286820576352426 (Start: 0.35s, Duration: 0.03s)
Note 12: MIDI 60.786820576352426 (Start: 0.38s, Duration: 0.03s)
Note 13: MIDI 61.08682057635243 (Start: 0.42s, Duration: 0.03s)
Note 14: MIDI 60.88682057635244 (Start: 0.45s, Duration: 0.03s)
Note 15: MIDI 60.986820576352436 (Start: 0.48s, Duration: 0.03s)
Note 16: MIDI 61.08682057635243 (Start: 0.51s, Duration: 0.03s)
Note 17: MIDI 60.986820576352436 (Start: 0.54s, Duration: 0.03s)
Note 18: MIDI 60.786820576352426 (Start: 0.58s, Duration: 0.03s)
Note 19: MIDI 60.08682057635242 (Start: 0.61s, Duration: 0.03s)
Note 20: MIDI nan (Start: 0.64s, Duration: 0.03s)
Note 21: MIDI nan (Start: 0.67s, Duration: 0.10s)
Note 22: MIDI 43.88682057635243 (Start: 0.77s, Duration: 0.06s)
Note 23: MIDI 43.98682057635243 (Start: 0.83s, Duration: 0.03s)
Note 24: MIDI 43.88682057635243 (Start: 0.86s, Duration: 0.03s)
Note 25: MIDI 43.98682057635243 (Start: 0.90s, Duration: 0.03s)
Note 26: MIDI 44.18682057635243 (Start: 0.93s, Duration: 0.03s)
Note 27: MIDI 44.08682057635242 (Start: 0.96s, Duration: 0.03s)
Note 28: MIDI 43.98682057635243 (Start: 0.99s, Duration: 0.03s)
Note 29: MIDI 44.286820576352426 (Start: 1.02s, Duration: 0.06s)
Note 30: MIDI 44.98682057635243 (Start: 1.09s, Duration: 0.03s)
Note 31: MIDI 43.88682057635243 (Start: 1.12s, Duration: 0.03s)
Note 32: MIDI 43.98682057635243 (Start: 1.15s, Duration: 0.03s)
Note 33: MIDI 43.88682057635243 (Start: 1.18s, Duration: 0.03s)
Note 34: MIDI nan (Start: 1.22s, Duration: 0.03s)
Note 35: MIDI nan (Start: 1.25s, Duration: 0.03s)
Note 36: MIDI 60.88682057635244 (Start: 1.28s, Duration: 0.03s)
Note 37: MIDI 61.08682057635243 (Start: 1.31s, Duration: 0.03s)
Note 38: MIDI 60.986820576352436 (Start: 1.34s, Duration: 0.03s)
Note 39: MIDI 60.58682057635244 (Start: 1.38s, Duration: 0.03s)
Note 40: MIDI 59.386820576352434 (Start: 1.41s, Duration: 0.03s)
Note 41: MIDI 58.78682057635243 (Start: 1.44s, Duration: 0.06s)
Note 42: MIDI 58.68682057635243 (Start: 1.50s, Duration: 0.03s)
Note 43: MIDI 58.78682057635243 (Start: 1.54s, Duration: 0.03s)
Note 44: MIDI 62.78682057635244 (Start: 1.57s, Duration: 0.03s)
Note 45: MIDI 63.28682057635243 (Start: 1.60s, Duration: 0.03s)
Note 46: MIDI 62.98682057635243 (Start: 1.63s, Duration: 0.03s)
Note 47: MIDI 61.386820576352434 (Start: 1.66s, Duration: 0.03s)
Note 48: MIDI 60.88682057635244 (Start: 1.70s, Duration: 0.10s)
Note 49: MIDI 60.786820576352426 (Start: 1.79s, Duration: 0.03s)
Note 50: MIDI 60.986820576352436 (Start: 1.82s, Duration: 0.13s)
Note 51: MIDI 61.08682057635243 (Start: 1.95s, Duration: 0.03s)
Note 52: MIDI 60.88682057635244 (Start: 1.98s, Duration: 0.03s)
Note 53: MIDI 60.68682057635243 (Start: 2.02s, Duration: 0.03s)
Note 54: MIDI 60.88682057635244 (Start: 2.05s, Duration: 0.03s)
Note 55: MIDI 60.986820576352436 (Start: 2.08s, Duration: 0.03s)
Note 56: MIDI 60.08682057635242 (Start: 2.11s, Duration: 0.03s)
Note 57: MIDI 58.98682057635243 (Start: 2.14s, Duration: 0.03s)
Note 58: MIDI 58.78682057635243 (Start: 2.18s, Duration: 0.03s)
Note 59: MIDI 58.88682057635243 (Start: 2.21s, Duration: 0.06s)
Note 60: MIDI 59.08682057635242 (Start: 2.27s, Duration: 0.03s)
Note 61: MIDI 58.98682057635243 (Start: 2.30s, Duration: 0.03s)
Note 62: MIDI 58.88682057635243 (Start: 2.34s, Duration: 0.03s)
Note 63: MIDI 58.68682057635243 (Start: 2.37s, Duration: 0.03s)
Note 64: MIDI 57.98682057635243 (Start: 2.40s, Duration: 0.03s)
Note 65: MIDI 58.386820576352434 (Start: 2.43s, Duration: 0.03s)
Note 66: MIDI 58.68682057635243 (Start: 2.46s, Duration: 0.03s)
Note 67: MIDI 58.78682057635243 (Start: 2.50s, Duration: 0.03s)
Note 68: MIDI 58.98682057635243 (Start: 2.53s, Duration: 0.10s)
Note 69: MIDI 59.08682057635242 (Start: 2.62s, Duration: 0.19s)
Note 70: MIDI 58.98682057635243 (Start: 2.82s, Duration: 0.03s)
Note 71: MIDI 58.78682057635243 (Start: 2.85s, Duration: 0.03s)
Note 72: MIDI 58.48682057635243 (Start: 2.88s, Duration: 0.03s)
Note 73: MIDI 58.88682057635243 (Start: 2.91s, Duration: 0.03s)
Note 74: MIDI nan (Start: 2.94s, Duration: 0.03s)
Note 75: MIDI nan (Start: 2.98s, Duration: 0.03s)
Note 76: MIDI 41.98682057635243 (Start: 3.01s, Duration: 0.03s)
Note 77: MIDI 41.886820576352434 (Start: 3.04s, Duration: 0.26s)
Note 78: MIDI 41.98682057635243 (Start: 3.30s, Duration: 0.03s)
Note 79: MIDI nan (Start: 3.33s, Duration: 0.03s)
Note 80: MIDI nan (Start: 3.36s, Duration: 0.03s)
Note 81: MIDI nan (Start: 3.39s, Duration: 0.03s)
Note 82: MIDI nan (Start: 3.42s, Duration: 0.03s)
Note 83: MIDI nan (Start: 3.46s, Duration: 0.03s)
Note 84: MIDI nan (Start: 3.49s, Duration: 0.03s)
Note 85: MIDI nan (Start: 3.52s, Duration: 0.03s)
Note 86: MIDI nan (Start: 3.55s, Duration: 0.03s)
Note 87: MIDI nan (Start: 3.58s, Duration: 0.03s)
Note 88: MIDI nan (Start: 3.62s, Duration: 0.03s)
Note 89: MIDI 42.08682057635244 (Start: 3.65s, Duration: 0.06s)
Note 90: MIDI 41.886820576352434 (Start: 3.71s, Duration: 0.03s)
Note 91: MIDI 41.98682057635243 (Start: 3.74s, Duration: 0.03s)
Note 92: MIDI 42.28682057635243 (Start: 3.78s, Duration: 0.03s)
Note 93: MIDI nan (Start: 3.81s, Duration: 0.03s)
Note 94: MIDI nan (Start: 3.84s, Duration: 0.03s)
Note 95: MIDI nan (Start: 3.87s, Duration: 0.03s)
Note 96: MIDI nan (Start: 3.90s, Duration: 0.03s)
Note 97: MIDI nan (Start: 3.94s, Duration: 0.03s)
Note 98: MIDI nan (Start: 3.97s, Duration: 0.03s)
Note 99: MIDI nan (Start: 4.00s, Duration: 0.03s)
Note 100: MIDI nan (Start: 4.03s, Duration: 0.03s)
Note 101: MIDI nan (Start: 4.06s, Duration: 0.13s)
Note 102: MIDI 41.98682057635243 (Start: 4.19s, Duration: 0.03s)
Note 103: MIDI 41.386820576352434 (Start: 4.22s, Duration: 0.03s)
Note 104: MIDI nan (Start: 4.26s, Duration: 0.03s)
Note 105: MIDI nan (Start: 4.29s, Duration: 0.03s)
Note 106: MIDI nan (Start: 4.32s, Duration: 0.06s)
Note 107: MIDI 41.98682057635243 (Start: 4.38s, Duration: 0.06s)
Note 108: MIDI 41.58682057635243 (Start: 4.45s, Duration: 0.06s)
Note 109: MIDI 42.08682057635244 (Start: 4.51s, Duration: 0.03s)
Note 110: MIDI nan (Start: 4.54s, Duration: 0.03s)
Note 111: MIDI nan (Start: 4.58s, Duration: 0.03s)
Note 112: MIDI nan (Start: 4.61s, Duration: 0.03s)
Note 113: MIDI nan (Start: 4.64s, Duration: 0.03s)
Note 114: MIDI nan (Start: 4.67s, Duration: 0.03s)
Note 115: MIDI nan (Start: 4.70s, Duration: 0.03s)
Note 116: MIDI nan (Start: 4.74s, Duration: 0.03s)
Note 117: MIDI nan (Start: 4.77s, Duration: 0.03s)
Note 118: MIDI nan (Start: 4.80s, Duration: 0.03s)
Note 119: MIDI 58.48682057635243 (Start: 4.83s, Duration: 0.03s)
Note 120: MIDI 58.68682057635243 (Start: 4.86s, Duration: 0.06s)
Note 121: MIDI 58.88682057635243 (Start: 4.93s, Duration: 0.13s)
Note 122: MIDI 58.98682057635243 (Start: 5.06s, Duration: 0.03s)
Note 123: MIDI 60.88682057635244 (Start: 5.09s, Duration: 0.03s)
Note 124: MIDI 61.08682057635243 (Start: 5.12s, Duration: 0.03s)
Note 125: MIDI 61.186820576352424 (Start: 5.15s, Duration: 0.06s)
Note 126: MIDI 61.08682057635243 (Start: 5.22s, Duration: 0.06s)
Note 127: MIDI 60.986820576352436 (Start: 5.28s, Duration: 0.03s)
Note 128: MIDI 60.88682057635244 (Start: 5.31s, Duration: 0.03s)
Note 129: MIDI nan (Start: 5.34s, Duration: 0.03s)
Note 130: MIDI nan (Start: 5.38s, Duration: 0.03s)
Note 131: MIDI nan (Start: 5.41s, Duration: 0.35s)
Note 132: MIDI 39.48682057635243 (Start: 5.76s, Duration: 0.03s)
Note 133: MIDI 40.08682057635243 (Start: 5.79s, Duration: 0.03s)
Note 134: MIDI 39.58682057635242 (Start: 5.82s, Duration: 0.06s)
Note 135: MIDI 39.48682057635243 (Start: 5.89s, Duration: 0.03s)
Note 136: MIDI nan (Start: 5.92s, Duration: 0.03s)
Note 137: MIDI nan (Start: 5.95s, Duration: 0.03s)
Note 138: MIDI nan (Start: 5.98s, Duration: 0.03s)
Note 139: MIDI nan (Start: 6.02s, Duration: 0.03s)
Note 140: MIDI 40.68682057635243 (Start: 6.05s, Duration: 0.03s)
Note 141: MIDI 40.286820576352426 (Start: 6.08s, Duration: 0.03s)
Note 142: MIDI 40.08682057635243 (Start: 6.11s, Duration: 0.06s)
Note 143: MIDI 39.886820576352434 (Start: 6.18s, Duration: 0.03s)
Note 144: MIDI 39.98682057635243 (Start: 6.21s, Duration: 0.03s)
Note 145: MIDI 40.08682057635243 (Start: 6.24s, Duration: 0.03s)
Note 146: MIDI 40.18682057635243 (Start: 6.27s, Duration: 0.03s)
Note 147: MIDI nan (Start: 6.30s, Duration: 0.03s)
Note 148: MIDI nan (Start: 6.34s, Duration: 0.03s)
Note 149: MIDI nan (Start: 6.37s, Duration: 0.03s)
Note 150: MIDI 60.786820576352426 (Start: 6.40s, Duration: 0.03s)
Note 151: MIDI 60.58682057635244 (Start: 6.43s, Duration: 0.03s)
Note 152: MIDI 60.786820576352426 (Start: 6.46s, Duration: 0.10s)
Note 153: MIDI 60.88682057635244 (Start: 6.56s, Duration: 0.13s)
Note 154: MIDI 60.986820576352436 (Start: 6.69s, Duration: 0.06s)
Note 155: MIDI 60.786820576352426 (Start: 6.75s, Duration: 0.06s)
Note 156: MIDI 60.986820576352436 (Start: 6.82s, Duration: 0.03s)
Note 157: MIDI 60.58682057635244 (Start: 6.85s, Duration: 0.03s)
Note 158: MIDI 59.98682057635243 (Start: 6.88s, Duration: 0.13s)
